INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,INSTURL,CONTROL,LATITUDE,LONGITUDE,MENONLY,WOMENONLY,ADM_RATE_ALL,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,AVGFACSAL,PCTPELL,RET_FT4,PCTFLOAN,AGE_ENTRY,FEMALE,MARRIED,VETERAN,FIRST_GEN,FAMINC,MD_FAMINC
Alabama A & M University,Normal,AL,35762,Southern Association of Colleges and Schools Commission on Colleges,www.aamu.edu/,1,34.783368,-86.568502,0,0,0.87377538,849,0,4616,0.0256,0.9129,0.0076,0.0019,0.0024,0.0017,0.0401,0.0065,0.0013,22667,NULL,9366,17496,NULL,7028,0.7039,0.5769,0.7667,20.28374137,0.564030132,0.009102323,0.003138732,0.365828092,32362.82611,23553
University of Alabama at Birmingham,Birmingham,AL,35294-0110,Southern Association of Colleges and Schools Commission on Colleges,www.uab.edu,1,33.505697,-86.799345,0,0,0.581351094,1125,0,12047,0.5786,0.2626,0.0309,0.0598,0.0028,0.0004,0.0387,0.0179,0.0083,22684,NULL,8040,18368,NULL,10517,0.3525,0.8161,0.5179,23.60797466,0.63909074,0.105086641,0.003167505,0.341223671,51306.67431,34489
Amridge University,Montgomery,AL,36117-3553,Southern Association of Colleges and Schools Commission on Colleges,www.amridgeuniversity.edu,2,32.362609,-86.17401,0,0,NULL,NULL,1,293,0.157,0.2355,0.0068,0,0,0.0034,0,0,0.5973,13380,NULL,7180,7180,NULL,3857,0.6971,0.0909,0.8436,33.6722973,0.648648649,0.236486487,0.040540541,0.5125,21079.47297,15033.5
University of Alabama in Huntsville,Huntsville,AL,35899,Southern Association of Colleges and Schools Commission on Colleges,www.uah.edu,1,34.724557,-86.640449,0,0,0.762816282,1257,0,6346,0.7148,0.1131,0.0411,0.0414,0.012,0,0.0181,0.0303,0.0292,22059,NULL,9842,20612,NULL,9463,0.2949,0.8255,0.4312,22.72791963,0.476349937,0.100460444,PrivacySuppressed,0.310132159,61096.58895,44787
Alabama State University,Montgomery,AL,36104-0271,Southern Association of Colleges and Schools Commission on Colleges,www.alasu.edu,1,32.364317,-86.295677,0,0,0.458963879,825,0,4704,0.0138,0.9337,0.0111,0.0028,0.0013,0.0004,0.0111,0.0159,0.01,19242,NULL,9220,16156,NULL,7952,0.7815,0.6262,0.8113,20.13099042,0.61341853,0.00798722,PrivacySuppressed,0.343434343,31684.38219,22080.5
The University of Alabama,Tuscaloosa,AL,35487-0166,Southern Association of Colleges and Schools Commission on Colleges,www.ua.edu/,1,33.211875,-87.545978,0,0,0.525851924,1202,0,31663,0.7841,0.1037,0.0437,0.0118,0.0036,0.0009,0.0297,0.0192,0.0033,28422,NULL,10470,26950,NULL,9802,0.1938,0.8627,0.4007,21.1377014,0.615252417,0.053705693,0.003974221,0.225712689,91846.74962,66733.5
Central Alabama Community College,Alexander City,AL,35010,Southern Association of Colleges and Schools Commission on Colleges,www.cacc.edu,1,32.92478,-85.945266,0,0,NULL,NULL,0,1492,0.6877,0.2802,0.0127,0.002,0.004,0.0007,0.0067,0.002,0.004,13868,NULL,4380,7890,NULL,5960,0.5109,NULL,0.3234,23.07102804,0.603738318,0.096261682,PrivacySuppressed,0.549676026,30767.76449,22217
Athens State University,Athens,AL,35611,Southern Association of Colleges and Schools Commission on Colleges,www.athens.edu,1,34.806793,-86.964698,0,0,NULL,NULL,0,2888,0.7784,0.125,0.0215,0.0076,0.0142,0.001,0.0187,0.001,0.0325,NULL,NULL,NULL,NULL,NULL,8367,0.4219,NULL,0.6455,30.38476563,0.705078125,0.361328125,PrivacySuppressed,0.477496484,38479.38737,29645.5
Auburn University at Montgomery,Montgomery,AL,36117-3596,Southern Association of Colleges and Schools Commission on Colleges,www.aum.edu,1,32.36736,-86.177544,0,0,0.765920826,1009,0,4171,0.5126,0.3627,0.0141,0.0247,0.006,0.001,0.0319,0.0412,0.0058,19255,NULL,9640,20710,NULL,7251,0.4405,0.6667,0.5565,22.19980411,0.69294809,0.072967679,0.00489716,0.38189609,41987.98629,29671.5
Auburn University,Auburn,AL,36849,Southern Association of Colleges and Schools Commission on Colleges,www.auburn.edu,1,32.599378,-85.488258,0,0,0.80543383,1217,0,22095,0.8285,0.0673,0.0335,0.0252,0.0052,0.0003,0.0128,0.0214,0.0059,29794,NULL,10696,28840,NULL,9945,0.1532,0.9101,0.328,20.51679587,0.531504671,0.022261976,0.002385212,0.172647119,92148.62652,72031
Birmingham Southern College,Birmingham,AL,35254,Southern Association of Colleges and Schools Commission on Colleges,www.bsc.edu/,2,33.513774,-86.850552,0,0,0.483879635,1150,0,1289,0.7921,0.1171,0.0217,0.0489,0.007,0,0.0109,0,0.0023,48510,NULL,34448,34448,NULL,7233,0.1888,0.8209,0.4729,19.64479638,0.520361991,PrivacySuppressed,PrivacySuppressed,0.172494173,86672.87104,68094.5
Chattahoochee Valley Community College,Phenix City,AL,36869,Southern Association of Colleges and Schools Commission on Colleges,www.cv.edu,1,32.42391,-85.031485,0,0,NULL,NULL,0,1424,0.4831,0.4017,0.059,0.0091,0.0049,0.0035,0.0302,0,0.0084,6980,NULL,4254,7764,NULL,6045,0.579,NULL,0.2697,24.81025641,0.611965812,0.190598291,0.01025641,0.430267062,26584.32479,20813
Concordia College Alabama,Selma,AL,36701,NULL,www.ccal.edu/,2,32.425647,-87.019145,0,0,0.236306729,NULL,0,340,0.0441,0.9265,0.0029,0,0,0,0,0.0265,0,27520,NULL,10320,10320,NULL,5605,0.8255,0.4836,0.883,21.88528678,0.329177057,PrivacySuppressed,PrivacySuppressed,0.448377581,20920.50125,15840
South University-Montgomery,Montgomery,AL,36116,Southern Association of Colleges and Schools Commission on Colleges,"www.southuniversity.edu/montgomery#location=Montgomery,%20AL",3,32.342684,-86.216488,0,0,NULL,NULL,0,394,0.297,0.6447,0.0203,0.0102,0.0025,0.0102,0,0,0.0152,26892,NULL,17306,17306,NULL,4887,0.6696,0.25,0.7087,30.00184319,0.762866865,0.236707784,0.016234227,0.472288337,29130.92124,20000
Enterprise State Community College,Enterprise,AL,36330-1300,Southern Association of Colleges and Schools Commission on Colleges,www.escc.edu,1,31.297496,-85.836956,0,0,NULL,NULL,0,1357,0.6315,0.2432,0.0656,0.0184,0.0066,0.0029,0.0265,0,0.0052,8980,NULL,4380,7890,NULL,6458,0.4559,NULL,0.1738,23.94881517,0.516587678,0.121327014,0.011374408,0.421891605,30336.67583,20456
Coastal Alabama Community College,Bay Minette,AL,36507-2698,Southern Association of Colleges and Schools Commission on Colleges,www.coastalalabama.edu,1,30.851343,-87.778193,0,0,NULL,NULL,0,4189,0.6954,0.2148,0.0308,0.0138,0.0196,0.0017,0.0217,0.0012,0.001,12260,NULL,4380,7890,NULL,6266,0.4406,NULL,0.4779,23.5010648,0.653179191,0.095527837,0.004563432,0.43511965,36117.93733,24150
Faulkner University,Montgomery,AL,36109-3390,Southern Association of Colleges and Schools Commission on Colleges,www.faulkner.edu,2,32.384181,-86.21641,0,0,0.453802126,972,0,2297,0.4101,0.5037,0.0222,0.0044,0.0048,0.0026,0.02,0.0244,0.0078,30557,NULL,20130,20130,NULL,5723,0.4727,0.5448,0.6954,28.26047565,0.638731597,0.167610419,PrivacySuppressed,0.430031949,36952.20612,24037.5
Gadsden State Community College,Gadsden,AL,35903,Southern Association of Colleges and Schools Commission on Colleges,www.gadsdenstate.edu,1,33.994001,-85.991438,0,0,NULL,NULL,0,4540,0.6978,0.2035,0.0328,0.0062,0.0093,0.0011,0.0244,0.0216,0.0033,9714,NULL,3264,6072,NULL,6143,0.5299,NULL,0,23.64507772,0.618060696,0.123612139,0.006661732,0.514954486,19449.72502,16623
New Beginning College of Cosmetology,Albertville,AL,35951,National Accrediting Commission of Career Arts and Sciences,www.nbccosmetology.com,3,34.27871,-86.196931,0,0,NULL,NULL,0,82,0.878,0.0122,0.1098,0,0,0,0,0,0,NULL,13057,NULL,NULL,10050,NULL,0.3409,NULL,0.4545,23.46017699,PrivacySuppressed,0.185840708,PrivacySuppressed,0.5,22762.19469,17173
George C Wallace Community College-Dothan,Dothan,AL,36303-9234,Southern Association of Colleges and Schools Commission on Colleges,www.wallace.edu,1,31.315274,-85.465836,0,0,NULL,NULL,0,3904,0.636,0.2992,0.0315,0.0069,0.0036,0.0018,0.0192,0,0.0018,9322,NULL,4320,7830,NULL,5849,0.5274,NULL,0,23.86608376,0.667740451,0.125172573,0.004601933,0.485153765,19125.65163,15816
George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,Southern Association of Colleges and Schools Commission on Colleges,www.wallacestate.edu,1,34.072439,-86.781935,0,0,NULL,NULL,0,4857,0.8443,0.0622,0.0383,0.0066,0.0093,0.0002,0.0068,0.0099,0.0224,10945,NULL,4380,7890,NULL,5961,0.4561,NULL,0.333,23.44760433,0.63122102,0.142503864,0.004018547,0.498813157,36705.76909,27572
George C Wallace State Community College-Selma,Selma,AL,36703-2808,Southern Association of Colleges and Schools Commission on Colleges,www.wccs.edu,1,32.445917,-87.013294,0,0,NULL,NULL,0,1397,0.2147,0.7402,0.0072,0.0021,0.0036,0,0.0057,0.0093,0.0172,13819,NULL,4080,7590,NULL,4922,0.7237,NULL,0,22.87099567,0.599134199,0.053679654,0.011255411,0.512588117,15431.71429,14330
Herzing University-Birmingham,Birmingham,AL,35209,Higher Learning Commission,www.herzing.edu/,3,33.468466,-86.832465,0,0,0.912561576,NULL,0,481,0.343,0.5156,0.0125,0.0021,0.0042,0,0.0582,0,0.0644,25945,NULL,13390,13390,NULL,5275,0.525,NULL,0.7083,31.28994083,0.813546519,0.231272819,0.009316379,0.520903265,26184.2285,18321
Huntingdon College,Montgomery,AL,36106-2148,Southern Association of Colleges and Schools Commission on Colleges,www.huntingdon.edu,2,32.351034,-86.284366,0,0,0.567599068,1001,0,1140,0.6421,0.2114,0.0395,0.0035,0.0088,0.0009,0.0421,0.0018,0.05,34207,NULL,25800,25800,NULL,6615,0.4425,0.6151,0.7093,23.01775148,0.470414201,0.082840237,PrivacySuppressed,0.3456,53792.63314,37577
Heritage Christian University,Florence,AL,35630-9977,Association for Bibical Higher Educaiton,www.hcu.edu,2,34.856153,-87.663051,0,0,0.333333333,NULL,0,50,0.72,0.14,0,0.02,0.04,0,0.04,0.02,0.02,19353,NULL,9792,9792,NULL,4981,0.569,0.6667,0.2586,28.72,PrivacySuppressed,0.56,PrivacySuppressed,PrivacySuppressed,33173.64,36524
J. F. Drake State Community and Technical College,Huntsville,AL,35811,Southern Association of Colleges and Schools Commission on Colleges,www.drakestate.edu,1,34.771858,-86.572885,0,0,NULL,NULL,0,794,0.3401,0.5655,0.0239,0.005,0.0088,0,0.0277,0.0227,0.0063,11938,NULL,4350,7860,NULL,5992,0.6024,NULL,0,27.25490196,0.561085973,0.123680241,0.019607843,0.589965398,16557.17949,13959
J F Ingram State Technical College,Deatsville,AL,36022,Council on Occupational Education,www.istc.edu,1,32.582312,-86.392369,0,0,NULL,NULL,0,446,0.509,0.4753,0.0135,0,0.0022,0,0,0,0,NULL,NULL,4896,4896,NULL,5812,0,NULL,0,36.40366973,0.229357798,0.146788991,PrivacySuppressed,0.491803279,321.3853211,0
Jacksonville State University,Jacksonville,AL,36265,Southern Association of Colleges and Schools Commission on Colleges,www.jsu.edu/,1,33.822938,-85.765321,0,0,0.530829484,1062,0,6714,0.72,0.1939,0.0107,0.0063,0.0071,0.0007,0,0.0262,0.035,20750,NULL,7500,14700,NULL,6945,0.3932,0.7845,0.6435,22.62058319,0.588679245,0.096397942,PrivacySuppressed,0.36377025,48404.34683,35734
Jefferson Davis Community College,Brewton,AL,36426,Southern Association of Colleges and Schools Commission on Colleges,www.coastalalabama.edu,1,31.101254,-87.08534,0,0,NULL,NULL,0,955,0.5717,0.3026,0.0105,0.0199,0.0168,0,0.022,0,0.0565,12093,NULL,4088,7598,NULL,5909,0.5228,NULL,0,24.31016043,0.650623886,0.122994652,PrivacySuppressed,0.52173913,19863.2246,16160
Jefferson State Community College,Birmingham,AL,35215-3098,Southern Association of Colleges and Schools Commission on Colleges,www.jeffersonstate.edu/,1,33.652535,-86.707233,0,0,NULL,NULL,0,7256,0.6458,0.2348,0.0409,0.0196,0.0034,0.001,0.031,0.0227,0.0007,13710,NULL,4440,7950,NULL,6363,0.2959,NULL,0.1784,24.41823588,0.660555005,0.133795838,0.005203172,0.450290778,36652.47869,25922
John C Calhoun State Community College,Tanner,AL,35671,Southern Association of Colleges and Schools Commission on Colleges,calhoun.edu/,1,34.645844,-86.949674,0,0,NULL,NULL,0,8414,0.6585,0.1913,0.0492,0.0227,0.0141,0.0006,0.0454,0.0088,0.0093,9765,NULL,4460,7970,NULL,6325,0.356,NULL,0.2602,23.85665216,0.580948019,0.137852072,0.005266774,0.455343703,37220.18136,25186
Judson College,Marion,AL,36756,Southern Association of Colleges and Schools Commission on Colleges,www.judson.edu,2,32.629253,-87.315206,0,1,0.575539568,1013,0,327,0.7064,0.1896,0.0122,0.0214,0.0031,0,0.0061,0,0.0612,30562,NULL,17376,17376,NULL,5666,0.6364,0.6774,0.5642,28.40648379,PrivacySuppressed,0.209476309,PrivacySuppressed,0.413793103,28123.81796,13220
Lawson State Community College-Birmingham Campus,Birmingham,AL,35221-1717,Southern Association of Colleges and Schools Commission on Colleges,www.lawsonstate.edu,1,33.450814,-86.888844,0,0,NULL,NULL,0,2931,0.1583,0.8079,0.0147,0.0055,0.0024,0.001,0.0075,0.002,0.0007,13630,NULL,4380,7890,NULL,5966,0.6904,NULL,0,23.38402889,0.568218299,0.04975923,0.004012841,0.474723158,18229.64807,16187.5
University of West Alabama,Livingston,AL,35470,Southern Association of Colleges and Schools Commission on Colleges,www.uwa.edu,1,32.588132,-88.186329,0,0,0.531007752,969,0,1974,0.4458,0.4134,0.0203,0.002,0.003,0.001,0.0172,0.0593,0.038,18533,NULL,8876,16162,NULL,6249,0.5128,0.6571,0.6846,22.25948276,0.557758621,0.044827586,PrivacySuppressed,0.403210576,39866.20259,25552.5
Lurleen B Wallace Community College,Andalusia,AL,36420-1418,Southern Association of Colleges and Schools Commission on Colleges,www.lbwcc.edu,1,31.322947,-86.452262,0,0,NULL,NULL,0,1419,0.7111,0.2495,0.0127,0.0014,0.0056,0,0.0162,0.0021,0.0014,13558,NULL,4380,7890,NULL,5455,0.5381,NULL,0,22.77819199,0.624417521,0.120223672,PrivacySuppressed,0.520342612,20928.06897,18213
Marion Military Institute,Marion,AL,36756-3207,Southern Association of Colleges and Schools Commission on Colleges,www.marionmilitary.edu,1,32.623734,-87.322041,0,0,0.643109541,1066,0,422,0.59,0.1848,0.1114,0.045,0.0071,0.0024,0.0521,0,0.0071,17228,NULL,9418,15418,NULL,6074,0.3545,NULL,0.4967,19.67021277,0.234042553,PrivacySuppressed,PrivacySuppressed,0.233802817,59761.8883,38434
Miles College,Fairfield,AL,35064-2621,Southern Association of Colleges and Schools Commission on Colleges,www.miles.edu,2,33.482442,-86.908751,0,0,NULL,NULL,0,1820,0.0203,0.9621,0.0055,0.0011,0.0005,0,0.0088,0,0.0016,22356,NULL,11604,11604,NULL,4573,0.8372,0.5556,0.9044,21.32274011,0.46680791,0.01059322,PrivacySuppressed,0.416458853,23637.2839,17702.5
University of Mobile,Mobile,AL,36613-2842,Southern Association of Colleges and Schools Commission on Colleges,www.umobile.edu,2,30.793247,-88.128934,0,0,0.619251337,1029,0,1367,0.5384,0.196,0.019,0.008,0.0088,0,0.0271,0.0432,0.1595,34482,NULL,21400,21400,NULL,5106,0.4965,0.7073,0.7663,23.91798942,0.673280423,0.103174603,PrivacySuppressed,0.324285714,53850.79101,39700
University of Montevallo,Montevallo,AL,35115-6000,Southern Association of Colleges and Schools Commission on Colleges,www.montevallo.edu,1,33.10625,-86.865099,0,0,0.654241645,1069,0,2399,0.7074,0.153,0.0438,0.0088,0.0038,0,0.0321,0.0129,0.0383,24599,NULL,12040,24310,NULL,7512,0.3998,0.7325,0.5722,21.02364532,0.682758621,0.039408867,PrivacySuppressed,0.325237592,57173.9468,43813
Northwest-Shoals Community College,Muscle Shoals,AL,35661,Southern Association of Colleges and Schools Commission on Colleges,https://www.nwscc.edu,1,34.739788,-87.678089,0,0,NULL,NULL,0,2994,0.7846,0.1212,0.0484,0.0033,0.0094,0.001,0.0037,0.0077,0.0207,11326,NULL,4351,7861,NULL,5738,0.4814,NULL,0.2768,23.10276297,0.618031992,0.137663597,PrivacySuppressed,0.514111788,29918.96849,21195
University of North Alabama,Florence,AL,35632-0001,Southern Association of Colleges and Schools Commission on Colleges,www.una.edu,1,34.806738,-87.681361,0,0,0.557395644,1028,0,5846,0.7188,0.1456,0.0287,0.0051,0.0108,0.0009,0.0277,0.0299,0.0325,16601,NULL,8114,14450,NULL,7299,0.4132,0.7506,0.7009,21.4253096,0.601393189,0.05379257,PrivacySuppressed,0.36326024,52721.78522,39436
Northeast Alabama Community College,Rainsville,AL,35986,Southern Association of Colleges and Schools Commission on Colleges,https://www.nacc.edu,1,34.545471,-85.911664,0,0,NULL,NULL,0,2007,0.8386,0.0204,0.0962,0.004,0.0279,0,0.0105,0.0025,0,8290,NULL,4380,7890,NULL,6318,0.49,NULL,0,22.9963477,0.602629657,0.15339664,PrivacySuppressed,0.58277592,29204.85756,22763
Oakwood University,Huntsville,AL,35896,Southern Association of Colleges and Schools Commission on Colleges,www.oakwood.edu,2,34.756344,-86.652705,0,0,0.483693156,886,0,1719,0.0047,0.8656,0.0326,0.0017,0.0041,0,0,0.0652,0.0262,35585,NULL,16750,16750,NULL,4912,0.5337,0.7418,0.7149,21.73015873,0.586080586,0.042735043,PrivacySuppressed,0.17623498,50868.94383,36829
Alabama Southern Community College,Monroeville,AL,36460,Southern Association of Colleges and Schools Commission on Colleges,www.coastalalabama.edu,1,31.488925,-87.326352,0,0,NULL,NULL,0,1085,0.5318,0.4313,0.0101,0.0009,0.0138,0,0.0055,0,0.0065,10781,NULL,4380,7890,NULL,5895,0.5227,NULL,0,21.5136742,0.595719382,0.060642093,PrivacySuppressed,0.516083916,18334.93341,15379
Prince Institute-Southeast,Elmhurst,IL,60126,NULL,princeinstitute.edu,3,32.383106,-86.162237,0,0,NULL,NULL,1,10,0.9,0,0.1,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0.48,NULL,0.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Reid State Technical College,Evergreen,AL,36401,Council on Occupational Education,www.rstc.edu,1,31.460265,-86.964797,0,0,NULL,NULL,0,372,0.4113,0.5591,0.0027,0,0.0134,0,0.0108,0,0.0027,9164,NULL,4440,7950,NULL,5782,0.5131,NULL,0,25.61852861,0.741144414,0.111716621,PrivacySuppressed,0.590322581,16019.3297,14034
Bishop State Community College,Mobile,AL,36603-5898,Southern Association of Colleges and Schools Commission on Colleges,www.bishop.edu,1,30.693972,-88.056982,0,0,NULL,NULL,0,2632,0.2447,0.6573,0.0167,0.0175,0.0091,0.0004,0.0205,0.03,0.0038,10179,NULL,4380,8070,NULL,6004,0.5744,NULL,0,24.32590412,0.605971405,0.071068125,0.004625736,0.485397785,16541.26577,14536.5
Samford University,Birmingham,AL,35229-2240,Southern Association of Colleges and Schools Commission on Colleges,www.samford.edu,2,33.464128,-86.791799,0,0,0.913813117,1170,0,3324,0.8309,0.0692,0.0391,0.0114,0.0021,0,0.0174,0.0232,0.0066,43666,NULL,29402,29402,NULL,8626,0.1199,0.8874,0.3277,21.15186916,0.658878505,0.043224299,PrivacySuppressed,0.138055222,108313.9404,87745
Selma University,Selma,AL,36701,Association for Bibical Higher Educaiton,selmauniversity.edu,2,32.420387,-87.032392,0,0,NULL,NULL,0,165,0,0.8364,0,0,0,0,0,0.0424,0.1212,9641,NULL,6730,6730,NULL,3451,0.8822,0.6699,0.1369,27.30508475,0.522033898,0.091525424,PrivacySuppressed,0.619433198,16153.15593,9948
Shelton State Community College,Tuscaloosa,AL,35405-8522,Southern Association of Colleges and Schools Commission on Colleges,www.sheltonstate.edu,1,33.120531,-87.56148,0,0,NULL,NULL,0,4436,0.5469,0.3738,0.0018,0.0086,0.0029,0.0009,0.0205,0.0072,0.0374,11561,NULL,4107,7617,NULL,4701,0.4526,NULL,0,22.36853089,0.59015025,0.061352254,0.00542571,0.476304452,19222.90276,15976.5
Snead State Community College,Boaz,AL,35957-0734,Southern Association of Colleges and Schools Commission on Colleges,www.snead.edu,1,34.201495,-86.169897,0,0,NULL,NULL,0,1987,0.7544,0.074,0.1082,0.0091,0.0272,0.0015,0,0.0141,0.0116,11226,NULL,4440,7950,NULL,5396,0.5452,NULL,0.2732,23.65647365,0.627195836,0.14964216,PrivacySuppressed,0.53262519,31610.01236,23735
University of South Alabama,Mobile,AL,36688-0002,Southern Association of Colleges and Schools Commission on Colleges,www.southalabama.edu,1,30.696033,-88.178711,0,0,0.805016181,1011,0,11483,0.5738,0.2203,0.0295,0.0301,0.0071,0.0011,0.0293,0.0883,0.0205,19511,NULL,7548,14796,NULL,7254,0.3944,0.732,0.5622,21.94726688,0.622936763,0.061950697,0.003215434,0.334257975,52728.84502,36199
Spring Hill College,Mobile,AL,36608-1791,Southern Association of Colleges and Schools Commission on Colleges,www.shc.edu,2,30.694751,-88.138199,0,0,0.435317553,1121,0,1379,0.6896,0.1465,0.0319,0.0138,0.0058,0.0036,0.0464,0.0283,0.0341,47815,NULL,35794,35794,NULL,6561,0.3062,0.7644,0.75,19.90214067,0.645259939,PrivacySuppressed,PrivacySuppressed,0.251633987,79894.03364,61189
Southeastern Bible College,Birmingham,AL,35244-2083,NULL,sebc.edu/,2,33.378935,-86.749045,0,0,1,970,0,143,0.6224,0.3497,0.007,0,0,0,0,0.007,0.014,20923,NULL,12600,12600,NULL,4569,0.596,0.6667,0.7219,29.46341463,0.365853659,0.170731707,PrivacySuppressed,PrivacySuppressed,42025.08537,26052
Stillman College,Tuscaloosa,AL,35401,Southern Association of Colleges and Schools Commission on Colleges,www.stillman.edu,2,33.200006,-87.585278,0,0,0.419190751,765,0,628,0.0382,0.9506,0.008,0.0016,0,0,0,0.0016,0,20737,NULL,10418,10418,NULL,5060,0.8022,0.3975,0.9039,21.02772964,0.461005199,PrivacySuppressed,PrivacySuppressed,0.410505837,27754.87695,19890
Talladega College,Talladega,AL,35160,Southern Association of Colleges and Schools Commission on Colleges,www.talladega.edu,2,33.433472,-86.112704,0,0,NULL,NULL,0,669,0.0224,0.8535,0.0463,0,0,0.0015,0.0344,0.0299,0.012,21601,NULL,12340,12340,NULL,5426,0.8382,0.5656,0.8049,21.15163934,0.489754098,0.022540984,PrivacySuppressed,0.398058252,27002.32377,18810
H Councill Trenholm State Community College,Montgomery,AL,36108-3199,Southern Association of Colleges and Schools Commission on Colleges,www.trenholmstate.edu,1,32.350109,-86.343057,0,0,NULL,NULL,0,1364,0.3182,0.6481,0.0154,0.0169,0.0007,0,0.0007,0,0,11484,NULL,4134,7644,NULL,6053,0.4811,NULL,0,24.24368049,0.53892821,0.092012134,0.012133468,0.430439952,18126.97776,15992
Troy University,Troy,AL,36082-0001,Southern Association of Colleges and Schools Commission on Colleges,www.troy.edu,1,31.800672,-85.957094,0,0,0.912466398,992,0,13745,0.5264,0.3115,0.0357,0.008,0.0059,0.0015,0.0288,0.0452,0.037,18404,NULL,8260,15484,NULL,6405,0.4096,0.743,0.6116,25.74979691,0.651015435,0.169618197,0.006823721,0.389845712,42757.39464,29641
Tuskegee University,Tuskegee,AL,36088-1920,Southern Association of Colleges and Schools Commission on Colleges,www.tuskegee.edu,2,32.4309,-85.708492,0,0,0.499903307,1006,0,2393,0.0054,0.7263,0.005,0.0033,0,0.0008,0,0,0.2591,36457,NULL,20015,20015,NULL,4753,0.2446,0.7037,0.7506,19.72319392,0.65095057,PrivacySuppressed,PrivacySuppressed,0.230643847,50928.44411,35336
United States Sports Academy,Daphne,AL,36526-7055,Southern Association of Colleges and Schools Commission on Colleges,www.ussa.edu,2,30.639329,-87.91163,0,0,NULL,NULL,0,72,0.5972,0.0972,0.125,0.0139,0,0,0.0972,0,0.0694,NULL,NULL,NULL,NULL,NULL,5550,0.3411,NULL,0.4651,31.90140845,0.23943662,0.422535211,PrivacySuppressed,PrivacySuppressed,36311.69014,29000
Bevill State Community College,Jasper,AL,35501,Southern Association of Colleges and Schools Commission on Colleges,www.bscc.edu,1,33.836929,-87.266406,0,0,NULL,NULL,0,3211,0.7979,0.1526,0.024,0.004,0.0031,0,0.0069,0,0.0115,12569,NULL,4410,7920,NULL,6210,0.4952,NULL,0,23.36818632,0.649653122,0.127353816,PrivacySuppressed,0.530808366,19747.08176,16911
University of Alaska Anchorage,Anchorage,AK,99508,Northwest Commission on Colleges and Universities,www.uaa.alaska.edu,1,61.190163,-149.82619,0,0,0.828461114,NULL,0,11833,0.5627,0.0377,0.0852,0.0843,0.0584,0.0077,0.1116,0.0188,0.0336,18379,NULL,5784,17990,NULL,9241,0.2205,0.7021,0.2304,25.10750308,0.598769988,0.197539975,0.009840098,0.389193875,46723.65117,33525
Alaska Bible College,Palmer,AK,99645,Association for Bibical Higher Educaiton,www.akbible.edu/,2,61.598553,-149.111972,0,0,NULL,NULL,0,33,0.7879,0.0303,0.0606,0,0.0606,0,0.0606,0,0,17300,NULL,9300,9300,NULL,2705,0.2121,0.6667,0.2424,24.6,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,52437.53333,42490
University of Alaska Fairbanks,Fairbanks,AK,99775-7500,Northwest Commission on Colleges and Universities,www.uaf.edu,1,64.85756,-147.823146,0,0,0.734746307,1060,0,5152,0.4338,0.0221,0.0668,0.0124,0.1376,0.0041,0.0444,0.0113,0.2675,16694,NULL,5976,18184,NULL,9431,0.207,0.7545,0.2263,25.45030882,0.594048288,0.250421112,0.01459854,0.398832685,48958.06457,35967
University of Alaska Southeast,Juneau,AK,99801-8697,Northwest Commission on Colleges and Universities,www.uas.alaska.edu,1,58.384846,-134.638255,0,0,0.489583333,NULL,0,1317,0.4624,0.0114,0.0615,0.0402,0.1101,0.0129,0.0676,0.0023,0.2316,16364,NULL,8415,22550,NULL,8208,0.1774,0.5571,0.1806,26.9668616,0.697855751,0.214424951,PrivacySuppressed,0.395143488,46682.37037,34718
Alaska Pacific University,Anchorage,AK,99508,Northwest Commission on Colleges and Universities,www.alaskapacific.edu,2,61.190968,-149.804168,0,0,0.550632911,NULL,0,262,0.4885,0.042,0.0076,0.0153,0.1565,0.0076,0.1565,0,0.126,30669,NULL,20310,20310,NULL,5730,0.3121,0.5128,0.4858,25.58219178,0.630136986,0.157534247,PrivacySuppressed,PrivacySuppressed,59045.79452,38810
AVTEC-Alaska's Institute of Technology,Seward,AK,99664-0889,Council on Occupational Education,www.avtec.edu/,1,60.110626,-149.444487,0,0,NULL,NULL,0,1209,0.5012,0.0116,0.0323,0.0124,0.2002,0.0025,0.0538,0.0008,0.1853,NULL,10509,NULL,NULL,3250,NULL,0.0355,NULL,0.0365,26.16853933,0.286516854,0.129213483,PrivacySuppressed,0.44137931,36850.44944,22043
Charter College,Vancouver,WA,98683-7575,Accrediting Bureau of Health Education Schools,www.chartercollege.edu,3,45.617798,-122.494766,0,0,NULL,NULL,0,2641,0.4089,0.0613,0.2791,0.0023,0.0931,0.056,0.0488,0,0.0504,31167,NULL,21887,21887,NULL,4607,0.6214,0.7143,0.705,28.03274712,0.761269456,0.241560542,0.008287851,0.554040144,27562.58076,18566
